,2011-2013 Consumption Rank,2011 Average Consumption,2012 Average Consumption,2013 Average Consumption
0,1,8349,9477,9245
1,2,6580,7705,7781
2,3,6384,5620,4456
3,4,6106,5405,4803
4,5,4993,5222,5387
5,6,4559,5361,5124
6,7,3864,5217,5783
7,8,4326,5287,5144
8,9,4741,4850,4618
9,10,4458,4521,4659
10,11,4488,2983,6099
11,12,4455,4758,3952
12,13,4219,4209,4291
13,14,3580,3992,4263
14,15,3268,3976,4389
15,16,3765,3908,3950
16,17,3019,4114,4431
17,18,3182,4070,4153
18,19,3311,3998,3946
19,20,4612,3246,3269
20,21,3509,4037,3291
21,22,3831,3125,3754
22,23,2409,3440,4861
23,24,3012,3565,4044
24,25,10044,76,94
25,26,3060,3411,3668
26,27,3089,3301,3217
27,28,2048,3350,4006
28,29,3118,2943,3261
29,30,2670,3321,3222
30,31,2989,2968,3119
31,32,2448,3341,3230
32,33,2332,3484,3122
33,34,2881,2674,3328
34,35,2723,2908,2872
35,36,2666,2932,2876
36,37,2846,2855,2707
37,38,2934,2541,2925
38,39,2548,3065,2786
39,40,2829,3469,2088
40,41,2967,3020,2391
41,42,4594,1934,1822
42,43,2609,2809,2895
43,44,2610,2538,3094
44,45,3047,2229,2765
45,46,2313,2911,2691
46,47,2547,2373,2963
47,48,2719,2706,2416
48,49,2410,2658,2697
49,50,1899,2388,3333
50,51,1634,3371,2593
51,52,2589,2505,2497
52,53,2722,2908,1848
53,54,2384,2512,2566
54,55,2189,2394,2856
55,56,2486,2751,2163
56,57,2306,2678,2408
57,58,2674,3032,1686
58,59,2215,2553,2593
59,60,2149,2442,2744
60,61,1970,2560,2736
61,62,2318,2300,2603
62,63,1992,2432,2745
63,64,1863,2253,2972
64,65,2234,2507,2302
65,66,2931,1958,2117
66,67,2223,2170,2565
67,68,2134,2275,2546
68,69,1807,2585,2507
69,70,2076,2179,2639
70,71,2254,2221,2389
71,72,2084,2298,2360
72,73,1892,2276,2551
73,74,1992,3020,1662
74,75,2067,2324,2099
75,76,1917,2245,2322
76,77,2141,2401,1897
77,78,2206,2581,1617
78,79,1716,2243,2385
79,80,1935,2408,1997
80,81,1584,2525,2230
81,82,1763,2209,2328
82,83,2054,2060,2175
83,84,1510,2174,2576
84,85,1870,2292,2025
85,86,1540,2276,2323
86,87,2187,2118,1821
87,88,2002,2065,2048
88,89,1938,1952,2220
89,90,1980,1824,2270
90,91,1923,2139,1991
91,92,2301,1695,2028
92,93,1664,2105,2253
93,94,1469,1961,2569
94,95,1985,2054,1902
95,96,2316,1732,1876
96,97,1454,2330,2124
97,98,1582,2233,2084
98,99,2086,1869,1944
99,100,1445,2206,2211
100,101,1895,1838,2124
101,102,2193,1672,1952
102,103,1664,2281,1820
103,104,1936,2178,1605
104,105,1773,2052,1892
105,106,1012,1987,2690
106,107,1620,2046,1978
107,108,2043,1748,1844
108,109,1716,1973,1945
109,110,1648,1922,2061
110,111,1678,2174,1733
111,112,1762,2179,1633
112,113,1499,1929,2141
113,114,1638,2219,1693
114,115,1516,1706,2314
115,116,1706,1873,1931
116,117,1653,1842,1999
117,118,1756,1824,1870
118,119,1609,1926,1907
119,120,1811,1754,1867
120,121,1658,1960,1814
121,122,1669,1659,2098
122,123,1444,1981,1979
123,124,1870,1816,1714
124,125,1496,1809,2085
125,126,1528,1607,2235
126,127,1420,1927,2019
127,128,1532,1725,2109
128,129,1763,1874,1659
129,130,1936,2057,1276
130,131,1540,1780,1913
131,132,1036,2250,1945
132,133,2000,1671,1548
133,134,1626,1768,1819
134,135,1721,1647,1803
135,136,1496,1839,1799
136,137,1937,1627,1565
137,138,1638,1930,1554
138,139,1497,1899,1705
139,140,2312,1189,1583
140,141,1592,1735,1699
141,142,1433,1772,1820
142,143,1394,1858,1767
143,144,1667,1688,1652
144,145,1534,1513,1958
145,146,1690,1955,1349
146,147,1538,1669,1784
147,148,1706,1687,1594
148,149,1737,1683,1565
149,150,1693,1435,1842
150,151,1305,1728,1930
151,152,1693,1520,1742
152,153,1585,1924,1432
153,154,1692,1746,1445
154,155,1273,1827,1746
155,156,1825,1384,1633
156,157,1917,1335,1573
157,158,1704,1546,1575
158,159,1507,1821,1488
159,160,1419,1674,1722
160,161,1697,1518,1596
161,162,1780,1622,1409
162,163,1690,1859,1253
163,164,1087,2089,1620
164,165,1109,1802,1884
165,166,1547,1650,1563
166,167,1217,1607,1929
167,168,1411,1617,1715
168,169,1284,1646,1810
169,170,1889,1463,1386
170,171,1733,1411,1586
171,172,1372,1652,1682
172,173,1764,1407,1532
173,174,1029,1814,1857
174,175,1690,1584,1425
175,176,1878,1115,1703
176,177,1290,1715,1673
177,178,1579,1521,1570
178,179,1365,1538,1746
179,180,1377,1484,1787
180,181,1754,1398,1476
181,182,1588,1657,1373
182,183,1358,1842,1399
183,184,1432,1811,1335
184,185,1240,1397,1940
185,186,1340,1520,1715
186,187,1489,1601,1481
187,188,1725,1307,1537
188,189,1055,1350,2163
189,190,1456,1414,1690
190,191,1582,1479,1495
191,192,1884,1476,1189
192,193,1428,1623,1486
193,194,1633,1723,1179
194,195,1473,1500,1525
195,196,1294,1654,1536
196,197,1537,1350,1595
197,198,1513,1286,1656
198,199,1501,1508,1444
199,200,1305,1646,1494
200,201,1159,1272,2004
201,202,1945,1514,965
202,203,1353,1416,1648
203,204,225,236,3939
204,205,1201,1560,1616
205,206,1518,1400,1458
206,207,1229,1748,1391
207,208,1277,1650,1439
208,209,1531,1681,1149
209,210,1496,1330,1533
210,211,1259,1915,1166
211,212,1382,1559,1397
212,213,1339,1486,1511
213,214,1307,1247,1772
214,215,1307,1547,1467
215,216,722,2297,1294
216,217,1292,1326,1693
217,218,1173,1504,1621
218,219,1126,1512,1648
219,220,1297,1353,1622
220,221,1447,1500,1314
221,222,1313,1446,1493
222,223,1313,1612,1326
223,224,1711,1391,1141
224,225,1329,1552,1356
225,226,1243,1558,1435
226,227,1261,1607,1358
227,228,1353,1489,1373
