Location,Title,Year,Model,Price,URL,Post_Date,Posting_Age
 (Downey),2005 honda civic lx,2005,civic,$5600,https://losangeles.craigslist.org/lgb/cto/d/2005-honda-civic-lx/6469240701.html,2018-01-22 15:18,-9
 (Culver City),"2003 2003 Honda Civic !! ONLY 90k MILES !! clean title, hablo español",2003,civic,$2800,https://losangeles.craigslist.org/wst/cto/d/honda-civic-only-90k-miles/6444501780.html,2018-01-23 15:43,-8
 (Los angeles),Honda civic 2008,2008,civic,$5800,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2008/6470726973.html,2018-01-23 19:31,-8
 (Santa Clarita),2008 Honda Civic GX (Carpool Access & 28K miles!),2008,civic,$9900,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-civic-gx-carpool/6450744490.html,2018-01-24 08:59,-7
 (Lawndale),Honda Civic Si 2009,2009,civic,$12500,https://losangeles.craigslist.org/wst/cto/d/honda-civic-si-2009/6470817035.html,2018-01-23 22:22,-7
 (Monterey Park),2004 Honda Civic,2004,civic,$2000,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic/6471705724.html,2018-01-24 15:03,-7
 (Baldwin Park),2009 Honda Civic Si Coupe,2009,civic,$8999,https://losangeles.craigslist.org/lac/cto/d/2009-honda-civic-si-coupe/6471627951.html,2018-01-24 14:00,-7
 (Palmdale),2008 Honda Civic,2008,civic,$4500,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6464151494.html,2018-01-25 09:55,-6
 (Fullerton),2010 Honda Civic LX,2010,civic,$7995,https://orangecounty.craigslist.org/cto/d/2010-honda-civic-lx/6466181366.html,2018-01-26 11:25,-5
 (Long Beach),2007 Honda Civic LX,2007,civic,$5500,https://losangeles.craigslist.org/lgb/cto/d/2007-honda-civic-lx/6473319067.html,2018-01-26 04:18,-5
 (Temecula),2009 Honda Civic,2009,civic,$7000,https://inlandempire.craigslist.org/cto/d/2009-honda-civic/6468055143.html,2018-01-27 12:49,-4
 (Torrance),Honda civic 2007,2007,civic,$5900,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2007/6471998765.html,2018-01-27 09:29,-4
 (L.a),**@2008 HONDA CIVIC LX 4D**NO ACCIDENT*Low 87K**XLNT**SMOG DONE,2008,civic,$7050,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6474960774.html,2018-01-27 10:44,-4
 (Los Angels),@@*2008 HONDA CIVIC LX 4D**NO ACCIDENT*86K**XLNT*SMOG DONE,2008,civic,$7150,https://losangeles.craigslist.org/lac/cto/d/2008-honda-civic-lx-4dno/6468694966.html,2018-01-27 09:35,-4
