Location,Title,Year,Model,Price,URL,Post_Date,Posting_Age,z_score
 (San Diego),2007 Honda Civic 83k miles,2007,civic,2800,https://sandiego.craigslist.org/csd/cto/d/2007-honda-civic-83k-miles/6488433634.html,2/7/18 16:04,1,-0.514647253
 (National City),2002 Honda Civic,2002,civic,3200,https://sandiego.craigslist.org/csd/cto/d/2002-honda-civic/6481901576.html,2/8/18 14:39,1,-0.445311146
 (Inland Empire),2003 Honda Civic,2003,civic,3500,https://inlandempire.craigslist.org/cto/d/2003-honda-civic/6489465045.html,2/8/18 13:15,1,-0.393309066
 (Inland Empire),2003 Honda Civic,2003,civic,3500,https://inlandempire.craigslist.org/cto/d/2003-honda-civic/6489465045.html,2/8/18 13:15,1,-0.393309066
 (Rowland Heights),Honnd Civic 2004 95000mi,2004,civic,3500,https://losangeles.craigslist.org/sgv/cto/d/honnd-civicmi/6488491483.html,2/7/18 16:46,1,-0.393309066
 (Simi Valley),Honda Civic coupe stick shift 2005,2005,civic,3800,https://losangeles.craigslist.org/sfv/cto/d/honda-civic-coupe-stick-shift/6482337993.html,2/7/18 23:12,1,-0.341306986
 (San Diego),2005 Honda Civic Coupe EX Special Edition - LOW MILES EXCELLENT CAR,2005,civic,4300,https://sandiego.craigslist.org/csd/cto/d/2005-honda-civic-coupe-ex/6459343510.html,2/7/18 16:27,1,-0.254636852
 (Mar Vista/Culver City),2004 Honda Civic Sedan 98k Miles - $4500 (Culver City),2004,civic,4500,https://losangeles.craigslist.org/wst/cto/d/2004-honda-civic-sedan-98k/6489161684.html,2/8/18 9:44,1,-0.219968799
 (Riverside),2007 Honda Civic EX coupe 4cyl 5spd 99k original miles runs great,2007,civic,4900,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex-coupe/6489505699.html,2/8/18 13:46,1,-0.150632692
 (Riverside ca),2007 Honda Civic EX coupe 4cyl 5spd 99k original miles runs great,2007,civic,4900,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex-coupe/6489503671.html,2/8/18 13:44,1,-0.150632692
 (Riverside),2007 Honda Civic EX coupe 4cyl 5spd 99k original miles runs great,2007,civic,4900,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex-coupe/6489505699.html,2/8/18 13:46,1,-0.150632692
 (SHERMAN OAKS),"SUPERB CONDITION*2002 HONDA CIVIC EX 4DR SED*77,865 MILES*1 OWNER*OBO",2002,civic,5000,https://losangeles.craigslist.org/sfv/cto/d/superb-condition2002-honda/6476554759.html,2/8/18 8:54,1,-0.133298665
 (Hacienda Heights),"2009 Honda Civic Coupe, Great Condition, Clean Title, 2 Door, 95K mile",2009,civic,5600,https://losangeles.craigslist.org/sgv/cto/d/2009-honda-civic-coupe-great/6475964359.html,2/8/18 14:35,1,-0.029294505
 (Santa Clarita),"2009 Honda Civic Sedan with 104k miles, Well Kept/1-Owner Clean Carfax",2009,civic,6900,https://losangeles.craigslist.org/sfv/cto/d/2009-honda-civic-sedan-with/6483740558.html,2/7/18 18:23,1,0.196047842
 (Long beach),2009 Honda Civic lx,2009,civic,7500,https://losangeles.craigslist.org/lac/cto/d/2009-honda-civic-lx/6478112276.html,2/7/18 23:52,1,0.300052002
 (Oceanside),CARPOOL LANE OK!!!!!!      2004 Honda Civic GX CNG Powered      LOW MI,2004,civic,2900,https://sandiego.craigslist.org/nsd/cto/d/carpool-lane-ok-2004-honda/6463664261.html,2/6/18 21:32,2,-0.497313226
 (Oceanside),CARPOOL LANE OK!!!!!!      2004 Honda Civic GX CNG Powered      LOW MI,2004,civic,2900,https://sandiego.craigslist.org/nsd/cto/d/carpool-lane-ok-2004-honda/6463664261.html,2/6/18 21:32,2,-0.497313226
