Location,Title,Year,Model,Price,Avg_Price,URL,Post_Date,Posting_Age,z_score
 (El florido),Honda civic 2012,2012,Civic,3400,7208,https://tijuana.craigslist.com.mx/cto/d/honda-civic-2012/6460087502.html,2018-01-14 22:50,33,-0.5283018867924528
 (South central),2000 Honda civic dx,2000,Civic,1000,1892,https://losangeles.craigslist.org/lac/cto/d/2000-honda-civic-dx/6480378802.html,2018-01-31 22:23,16,-0.4714587737843552
 (o c),"2003 HONDA CIVIC LX, HYBRID,, LOW MILES 098168 ON IT 2018 TAGS",2003,Civic,1400,2554,https://orangecounty.craigslist.org/cto/d/2003-honda-civic-lx-hybrid/6475204183.html,2018-02-01 15:54,16,-0.45184025058731403
 (o c),"2003 HONDA CIVIC LX, HYBRID,, LOW MILES 098168 ON IT 2018 TAGS",2003,Civic,1400,2554,https://orangecounty.craigslist.org/cto/d/2003-honda-civic-lx-hybrid/6473922999.html,2018-01-29 10:45,19,-0.45184025058731403
 (Monterey Park),2004 Honda Civic,2004,Civic,2000,3206,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic/6471705724.html,2018-01-24 15:03,24,-0.37616968184653776
 (Tijuana),Honda civic 2013,2013,Civic,5299,7860,https://tijuana.craigslist.com.mx/cto/d/honda-civic-2013/6499170197.html,2018-02-16 14:01,1,-0.32582697201017813
 (Coachella),2007 Honda civic sedan SI WHEELS AND BUMPER 105K OR TRADE,2007,Civic,3700,5292,https://palmsprings.craigslist.org/cto/d/2007-honda-civic-sedan-si/6498896012.html,2018-02-16 10:54,1,-0.30083144368858655
 (burbank),2005 honda civic,2005,Civic,2500,3517,https://losangeles.craigslist.org/sfv/cto/d/2005-honda-civic/6495687841.html,2018-02-13 17:17,4,-0.28916690361103214
 (el monte),2006 COBALT SS SUPERCHARGED / CIVIC SI RSX MIATA S2000 240SX STI EVO,2006,Civic,3500,4880,https://inlandempire.craigslist.org/cto/d/2006-cobalt-ss-supercharged/6453820837.html,2018-02-03 09:34,14,-0.2827868852459016
 (ZONA RIO),HONDA CIVIC 2010,2010,Civic,3995,5526,https://tijuana.craigslist.com.mx/cto/d/honda-civic-2010/6495167973.html,2018-02-15 10:39,2,-0.27705392689106045
 (Santa Monica),Honda Civic 2002,2002,Civic,1700,2297,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2002/6483967579.html,2018-02-03 21:11,13,-0.25990422289943405
 (Monterey park),2004 Honda Civic,2004,Civic,2400,3206,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic/6464656757.html,2018-01-18 15:22,30,-0.2514036182158453
 (Riverside),Honda civic 2005 Riverside,2005,Civic,2800,3517,https://sandiego.craigslist.org/csd/cto/d/honda-civic-2005-riverside/6498263064.html,2018-02-15 20:38,1,-0.203866932044356
 (Idyllwild),2008 honda civic,2008,Civic,4300,5400,https://inlandempire.craigslist.org/cto/d/2008-honda-civic/6441147466.html,2018-01-25 12:04,23,-0.2037037037037037
 (NEWHALL),2002 HONDA CIVIC,2002,Civic,1900,2297,https://losangeles.craigslist.org/sfv/cto/d/2002-honda-civic/6463416725.html,2018-02-05 18:24,12,-0.17283413147583804
 (San Dieg),2011 Honda Civic,2011,Civic,5500,6613,https://sandiego.craigslist.org/csd/cto/d/2011-honda-civic/6499244106.html,2018-02-16 14:58,1,-0.1683048540753062
 (Palmdale),2008 Honda Civic,2008,Civic,4500,5400,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6464151494.html,2018-02-11 17:40,6,-0.16666666666666666
 (Palmdale),2008 Honda Civic,2008,Civic,4500,5400,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6464151494.html,2018-02-11 17:40,6,-0.16666666666666666
 (Van Nuys),2011 Honda Civic Good Condition low miles,2011,Civic,5900,6613,https://losangeles.craigslist.org/sfv/cto/d/2011-honda-civic-good/6496571886.html,2018-02-14 12:07,3,-0.10781793437169213
 (Los  Angeles),2007 honda  civic  lx clean  title,2007,Civic,4900,5292,https://losangeles.craigslist.org/lac/cto/d/2007-honda-civic-lx-clean/6498229910.html,2018-02-15 20:07,1,-0.07407407407407407
 (monterey park),2004 honda civic gx cng only 106 k mile w/ carpool decal +++++++++++++,2004,Civic,3000,3206,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic-gx-cng-only/6489966424.html,2018-02-11 18:00,6,-0.06425452276980662
 (Norwalk),2001 Honda Civic LX 104K!!!!!!!!!,2001,Civic,1999,2084,https://losangeles.craigslist.org/lgb/cto/d/2001-honda-civic-lx-104k/6497907212.html,2018-02-15 14:06,2,-0.040786948176583494
 (Irvine),2011 Honda Civic (with low miles and excellent engine condition),2011,Civic,6495,6613,https://orangecounty.craigslist.org/cto/d/2011-honda-civic-with-low/6465941733.html,2018-01-19 16:45,29,-0.017843641312566157
 (Tijuana),Honda civic 2012,2012,Civic,7200,7208,https://tijuana.craigslist.com.mx/cto/d/honda-civic-2012/6497034633.html,2018-02-14 20:15,2,-0.0011098779134295228
 (Tijuana),Honda civic 2012,2012,Civic,7200,7208,https://tijuana.craigslist.com.mx/cto/d/honda-civic-2012/6497034633.html,2018-02-14 20:15,2,-0.0011098779134295228
 (Tijuana),Venta honda civic 2012,2012,Civic,7200,7208,https://tijuana.craigslist.com.mx/cto/d/venta-honda-civic-2012/6477975897.html,2018-02-09 17:52,8,-0.0011098779134295228
 (Tijuana),Venta honda civic 2012,2012,Civic,7200,7208,https://tijuana.craigslist.com.mx/cto/d/venta-honda-civic-2012/6477975897.html,2018-02-09 17:52,8,-0.0011098779134295228
 (Long Beach),2007 Honda Civic LX,2007,Civic,5300,5292,https://losangeles.craigslist.org/lgb/cto/d/2007-honda-civic-lx/6473319067.html,2018-02-16 02:44,1,0.0015117157974300832
 (Bay Ho),2012 Honda Civic,2012,Civic,7300,7208,https://sandiego.craigslist.org/csd/cto/d/2012-honda-civic/6494415469.html,2018-02-12 15:53,5,0.012763596004439512
 (San Diego),2013 Honda Civic Ex-L,2013,Civic,7999,7860,https://sandiego.craigslist.org/nsd/cto/d/2013-honda-civic-ex/6496962565.html,2018-02-14 18:19,3,0.01768447837150127
